symbol,companyName,industry,sector,faceValue,issuedSize
21STCENMGM,21st Century Management Services Limited,Capital Markets - Other Capital Market related Services,Financial Services,10,10500000
AADHARHFC,Aadhar Housing Finance Limited,Finance - Housing Finance Company,Financial Services,10,426518505
AAKASH,Aakash Exploration Services Limited,Oil - Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,1,101250000
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,10,25384684
AARON,Aaron Industries Limited,Industrial Manufacturing - Industrial Products,Capital Goods,10,10473239
AARTECH,Aartech Solonics Limited,Electrical Equipment - Heavy Electrical Equipment,Capital Goods,10,10590125
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,10,91935000
63MOONS,63 moons technologies limited,IT - Software - Computers - Software & Consulting,Information Technology,2,46078537
20MICRONS,20 Microns Limited,Minerals & Mining - Industrial Minerals,Metals & Mining,5,35286502
3IINFOLTD,3i Infotech Limited,IT - Software - Computers - Software & Consulting,Information Technology,10,169263842
AARTIPHARM,Aarti Pharmalabs Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,5,90626008
3MINDIA,3M India Limited,Diversified - Diversified,Diversified,10,11265070
A2ZINFRA,A2Z Infra Engineering Limited,Construction - Civil Construction,Construction,10,176119858
3PLAND,3P Land Holdings Limited,Finance - Investment Company,Financial Services,2,18000000
AAATECH,AAA Technologies Limited,IT - Services - IT Enabled Services,Information Technology,10,12826800
360ONE,360 ONE WAM LIMITED,Capital Markets - Stockbroking & Allied,Financial Services,1,362866808
AARTISURF,Aarti Surfactants Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,10,8458495
AARTIIND,Aarti Industries Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,5,362504035
5PAISA,5Paisa Capital Limited,Capital Markets - Stockbroking & Allied,Financial Services,10,31209763
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles & Apparels - Other Textile Products,Textiles,10,23459800
ABDL,Allied Blenders and Distillers Limited,Beverages - Breweries & Distilleries,Fast Moving Consumer Goods,2,279710151
AAVAS,Aavas Financiers Limited,Finance - Housing Finance Company,Financial Services,10,79139705
ABBOTINDIA,Abbott India Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,10,13675240
ABB,ABB India Limited,Electrical Equipment - Heavy Electrical Equipment,Capital Goods,2,211908375
AARVI,Aarvi Encon Limited,Commercial Services & Supplies - Diversified Commercial Services,Services,10,14784000
ABCAPITAL,Aditya Birla Capital Limited,Finance - Investment Company,Financial Services,10,2602078199
ABSLAMC,Aditya Birla Sun Life AMC Limited,Capital Markets - Asset Management Company,Financial Services,5,288099769
ACE,Action Construction Equipment Limited,Agricultural Commercial & Construction Vehicles - Construction Vehicles,Capital Goods,2,119083196
ACCELYA,Accelya Solutions India Limited,IT - Software - Computers - Software & Consulting,Information Technology,10,14926261
ABAN,Aban Offshore Limited,Oil - Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,2,58365323
ABFRL,Aditya Birla Fashion and Retail Limited,Retailing - Speciality Retail,Consumer Services,10,1014991639
ABMINTLLTD,ABM International Limited,Commercial Services & Supplies - Trading & Distributors,Services,10,9408000
ACI,Archean Chemical Industries Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,2,123151269
ACC,ACC Limited,Cement & Cement Products - Cement & Cement Products,Construction Materials,10,187787263
ACL,Andhra Cements Limited,Cement & Cement Products - Cement & Cement Products,Construction Materials,10,92172140
ACCURACY,Accuracy Shipping Limited,Transport Services - Logistics Solution Provider,Services,1,150560000
ACEINTEG,Ace Integrated Solutions Limited,Commercial Services & Supplies - Diversified Commercial Services,Services,10,10200000
ADANIENSOL,Adani Energy Solutions Limited,Power - Power Distribution,Power,10,1115492683
ACLGATI,Allcargo Gati Limited,Transport Services - Logistics Solution Provider,Services,2,147015964
ADANIPOWER,Adani Power Limited,Power - Integrated Power Utilities,Power,10,3856938941
ADANIENT,Adani Enterprises Limited,Metals & Minerals Trading - Trading - Minerals,Metals & Mining,1,1140001121
ADANIGREEN,Adani Green Energy Limited,Power - Power Generation,Power,10,1584032478
ADFFOODS,ADF Foods Limited,Food Products - Packaged Foods,Fast Moving Consumer Goods,2,109863595
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Transport Infrastructure - Port & Port services,Services,2,2160138945
ADROITINFO,Adroit Infotech Limited,IT - Services - IT Enabled Services,Information Technology,10,24767372
ADSL,Allied Digital Services Limited,IT - Services - IT Enabled Services,Information Technology,5,55409403
ADORWELD,Ador Welding Limited,Industrial Products - Other Industrial Products,Capital Goods,10,13598467
ADVENZYMES,Advanced Enzyme Technologies Limited,Pharmaceuticals & Biotechnology - Biotechnology,Healthcare,2,111824075
ADL,Archidply Decor Limited,Consumer Durables - Plywood Boards/ Laminates,Consumer Durables,10,5566250
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Leisure Services - Hotels & Resorts,Consumer Services,2,92438500
AEGISLOG,Aegis Logistics Limited,Gas - Trading - Gas,Oil Gas & Consumable Fuels,1,351000000
AHL,Abans Holdings Limited,Finance - Holding Company,Financial Services,2,50145950
AHLADA,Ahlada Engineers Limited,Consumer Durables - Furniture Home Furnishing,Consumer Durables,10,12921000
AHLEAST,Asian Hotels (East) Limited,Leisure Services - Hotels & Resorts,Consumer Services,10,17291696
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction - Civil Construction,Construction,2,66987560
AIAENG,AIA Engineering Limited,Industrial Products - Castings & Forgings,Capital Goods,2,94320370
AIIL,Authum Investment & Infrastructure Limited,Finance - Non Banking Financial Company (NBFC),Financial Services,1,169845100
AIRAN,Airan Limited,IT - Services - IT Enabled Services,Information Technology,2,125020000
AFIL,Akme Fintrade (India) Limited,Finance - Non Banking Financial Company (NBFC),Financial Services,10,42674996
AGRITECH,Agri-Tech (India) Limited,Agricultural Food & other Products - Other Agricultural Products,Fast Moving Consumer Goods,10,5940000
AGSTRA,AGS Transact Technologies Limited,Financial Technology (Fintech) - Financial Technology (Fintech),Financial Services,10,121403076
AIROLAM,Airo Lam limited,Consumer Durables - Plywood Boards/ Laminates,Consumer Durables,10,15002000
AGI,AGI Greenpac Limited,Industrial Products - Packaging,Capital Goods,2,64697381
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,2,124887774
AFFLE,Affle (India) Limited,IT - Services - IT Enabled Services,Information Technology,2,140209060
AKASH,Akash Infra-Projects Limited,Construction - Civil Construction,Construction,10,16862534
AETHER,Aether Industries Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,10,132550273
AGROPHOS,Agro Phos India Limited,Fertilizers & Agrochemicals - Fertilizers,Chemicals,10,20274115
AGARIND,Agarwal Industrial Corporation Limited,Chemicals & Petrochemicals - Petrochemicals,Chemicals,10,14957789
AEROFLEX,Aeroflex Industries Limited,Industrial Products - Iron & Steel Products,Capital Goods,2,129320370
AKSHAR,Akshar Spintex Limited,Textiles & Apparels - Other Textile Products,Textiles,1,299988000
AKI,AKI India Limited,Consumer Durables - Leather And Leather Products,Consumer Durables,2,85764174
AKG,Akg Exim Limited,Commercial Services & Supplies - Trading & Distributors,Services,10,31776576
AJOONI,Ajooni Biotech Limited,Food Products - Animal Feed,Fast Moving Consumer Goods,2,172243598
AKSHARCHEM,AksharChem India Limited,Chemicals & Petrochemicals - Dyes And Pigments,Chemicals,10,8033099
AJMERA,Ajmera Realty & Infra India Limited,Realty - Residential Commercial Projects,Realty,10,35484875
ALBERTDAVD,Albert David Limited,Pharmaceuticals & Biotechnology - Pharmaceuticals,Healthcare,10,5707162
ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,2,51131032
ALKALI,Alkali Metals Limited,Chemicals & Petrochemicals - Specialty Chemicals,Chemicals,10,10182506
ALEMBICLTD,Alembic Limited,Realty - Residential Commercial Projects,Realty,2,256781828
ALANKIT,Alankit Limited,Commercial Services & Supplies - Diversified Commercial Services,Services,1,271158100
AKSHOPTFBR,Aksh Optifibre Limited,Telecom - Equipment & Accessories - Telecom - Equipment & Accessories,Telecommunication,5,162697971
ALICON,Alicon Castalloy Limited,Auto Components - Auto Components & Equipments,Automobile and Auto Components,5,16261840
ALLSEC,Allsec Technologies Limited,Commercial Services & Supplies - Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,10,15238326
ALMONDZ,Almondz Global Securities Limited,Capital Markets - Stockbroking & Allied,Financial Services,6,27684597
AKZOINDIA,Akzo Nobel India Limited,Consumer Durables - Paints,Consumer Durables,10,45540314
ALPHAGEO,Alphageo (India) Limited,Oil - Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,10,6364767
