symbol,open,high,low,close,lastPrice,volume
21STCENMGM,0,0,0,72.05,72.05,50
AADHARHFC,436.8,436.8,423,0,423,2682
AAKASH,14.89,15.9,14.89,0,15.54,30865
AAREYDRUGS,50,50,48.15,0,49.3,250
AARON,266.9,266.9,264.3,0,266.85,110
AARTECH,0,0,0,190,190,
AARTIDRUGS,532.5,548,532.5,0,541.75,368
63MOONS,366.5,368.05,362.05,0,365,179
20MICRONS,227,228.77,222.01,0,224.38,0
3IINFOLTD,39.78,39.78,39.31,0,39.4,8277
AARTIPHARM,615.2,624.35,615,0,624.35,64
3MINDIA,39000,39350,38787.05,0,39349.95,59
A2ZINFRA,0,0,0,21.06,21.06,
3PLAND,38.14,38.14,36.11,0,36.87,700
AAATECH,102.9,102.9,102.1,0,102.9,20
360ONE,927.3,960,920.2,0,928.2,351
AARTISURF,715,717.95,705,0,707.9,448
AARTIIND,718.4,723.15,716.15,0,721.75,851
5PAISA,502,502.9,498.55,0,501.9,173
AARVEEDEN,31.69,31.99,30.63,0,31.08,2212
ABDL,333.75,342.9,333,0,338.9,24929
AAVAS,1780.05,1793.95,1774,0,1777.45,1151
ABBOTINDIA,27986.9,27997.15,27820.8,0,27935.3,11
ABB,8715.95,8715.95,8604.45,0,8635.35,1144
AARVI,142.5,144.59,137.49,0,141.5,4
ABCAPITAL,237.38,239.46,235.98,0,238.7,4425
ABSLAMC,655.7,662,650.3,0,655.95,138
ACE,1522.2,1523.9,1484.75,0,1492.65,610
ACCELYA,1753,1869.9,1753,0,1845.55,109
ABAN,0,0,0,72.7,0,
ABFRL,333.2,333.9,329.2,0,330.4,10976
ABMINTLLTD,65,65,65,0,65,0
ACI,735.5,758.2,730.5,0,757.7,2144
ACC,2734,2740.25,2704.1,0,2734.9,566
ACL,98.14,98.57,98,0,98.22,0
ACCURACY,12.2,12.64,12.11,0,12.55,4564
ACEINTEG,34.64,34.64,33.89,0,33.89,265
ADANIENSOL,1025.8,1025.8,1016.25,0,1022.65,1528
ACLGATI,101,101,99.8,0,100.78,6431
ADANIPOWER,712,714.6,706.5,0,713.5,0
ADANIENT,3143.9,3158.55,3123.95,0,3154.2,2430
ADANIGREEN,1765.2,1773.95,1758,0,1773.8,803
ADFFOODS,235.72,237.59,232.88,0,234.52,1299
ADANIPORTS,1508,1508,1493.9,0,1503.8,6503
ADROITINFO,17.65,17.65,17.4,0,17.4,760
ADSL,223.82,234.08,223.82,0,230.23,5367
ADORWELD,1394,1408.2,1393.75,0,1403.6,78
ADVENZYMES,400,406,395.05,0,399.05,5368
ADL,91.7,93.87,90.08,0,92.38,6
ADVANIHOTR,70.99,70.99,70.26,0,70.64,129
AEGISLOG,890.05,901.95,885.6,0,892.6,599
AHL,496,496,489.1,0,490,511
AHLADA,124,125.55,122.03,0,124.9,100
AHLEAST,143.75,143.75,142,0,142.97,0
AHLUCONT,1337.6,1542.45,1335,0,1522.8,15436
AIAENG,4248.75,4293.1,4233.75,0,4237.75,17
AIIL,1148,1148.95,1135,0,1135.4,19
AIRAN,29.89,30.4,29.3,0,30.39,2695
AFIL,110.09,111,109.2,0,109.3,487
AGRITECH,197.21,197.21,196,0,197.01,0
AGSTRA,79,80,78.6,0,79.5,422
AIROLAM,140.06,144.95,138.1,0,142.05,0
AGI,860,914.95,860,0,894.95,2864
AJANTPHARM,2222,2232,2167.6,0,2173.5,85
AFFLE,1354,1364.35,1347.05,0,1354.3,791
AKASH,38.05,39.15,38.05,0,38.53,3003
AETHER,926.9,929.15,917.2,0,918.6,107
AGROPHOS,47.49,47.51,47,0,47,2051
AGARIND,1234.35,1238,1209.05,0,1217.25,61
AEROFLEX,159.99,160.83,158.46,0,158.73,4031
AKSHAR,2.57,2.58,2.56,0,2.56,27220
AKI,25.29,25.29,24.68,0,25.17,173
AKG,21.99,22.21,20.86,0,21.89,2
AJOONI,6.5,6.77,6.48,0,6.77,21326
AKSHARCHEM,317,326,315.05,0,318.55,10
AJMERA,721,725,716.95,0,718.45,0
ALBERTDAVD,1315.15,1326.1,1311.2,0,1323.65,0
ALKYLAMINE,2139,2146.05,2130,0,2136,79
ALKALI,150.95,153,148.53,0,149.9,0
ALEMBICLTD,115.6,116.64,114.68,0,115.8,4385
ALANKIT,23.7,24.48,23.7,0,24.15,3721
AKSHOPTFBR,8.44,8.45,8.42,0,8.43,95
ALICON,1288,1296.15,1277.05,0,1284.05,14
ALLSEC,1165,1165,1126.55,0,1128.35,854
ALMONDZ,132.56,135.59,132.56,0,133.7,0
AKZOINDIA,2872,2887.95,2867.4,0,2886.85,3
ALPHAGEO,390.2,400,390.2,0,396.2,30
ALLCARGO,64.68,64.68,63.46,0,63.54,26201
ALKEM,4990.9,5066.6,4990.6,0,5045.5,9
AMBER,4495,4527.85,4495,0,4507.85,106
ALPA,86.02,87.34,86,0,87.1,0
AMBUJACEM,682.1,687.1,677,0,686.9,3874
AMBICAAGAR,26.7,26.7,25.99,0,26.28,10
ALPSINDUS,0,0,0,4.27,0,
ALOKINDS,28,28.25,27.96,0,28.2,106645
AMJLAND,48.77,49.9,47.3,0,49.89,12697
AMBIKCO,1651.1,1666.35,1649.95,0,1659.1,13
AMDIND,77,77.09,74.8,0,75.89,25
AMNPLST,291,292.7,287.85,0,290,116
AMIORG,1394,1414,1372.1,0,1411,449
ANANDRATHI,3888.55,3916.45,3880.55,0,3885.1,21
ANTGRAPHIC,1.52,1.54,1.51,0,1.54,17560
ANUP,1785.05,1845,1785.05,0,1845,101
ANURAS,765.45,767.1,761.55,0,763.4,78
APARINDS,8640,8669.4,8524.35,0,8619.85,301
APCL,202.65,203.27,202.58,0,203,0
APCOTEXIND,457.05,457.05,448.55,0,451.7,30
APEX,227,227.73,225.85,0,227.7,336
APLAPOLLO,1575,1580.75,1552,0,1555.8,600
ANMOL,35.6,35.98,35.1,0,35.1,285
ANIKINDS,51.74,51.74,50.51,0,51.4,0
APLLTD,965,989,965,0,977.2,209
APOLLOHOSP,6201,6278.5,6159,0,6267.65,229
AMRUTANJAN,792,793.95,784.05,0,786.65,0
ANDHRAPAP,620.6,620.65,612.25,0,613.2,149
ANANTRAJ,490,509.85,490,0,505.65,2904
ANSALAPI,10,10.2,10,0,10.2,4000
ANKITMETAL,3.93,3.96,3.8,0,3.85,501
ANDHRSUGAR,117.05,118.08,116.72,0,117.19,804
APTECHT,221,224.95,220.51,0,223.17,1565
ARCHIDPLY,0,0,0,100.2,100.2,
APOLLO,104.56,105.5,104.2,0,104.32,5396
APOLSINHOT,1495,1526.5,1495,0,1516.45,8
ANGELONE,2365.05,2410,2351.3,0,2390.55,4549
APOLLOTYRE,525,530.35,522.45,0,529.1,9402
ARIES,277.8,278.85,274.35,0,275.3,406
ARENTERP,46.13,46.52,46.13,0,46.52,0
AROGRANITE,59.14,60.23,59.14,0,59.99,180
ARIHANTCAP,72.5,72.5,71.11,0,71.38,1202
APOLLOPIPE,622.35,635.4,622.35,0,630.3,1986
ARCHIES,26.15,26.19,25.78,0,25.91,50
ARIHANTSUP,366.25,373.45,360.25,0,363.2,2177
ARVIND,388.65,391.3,384,0,385.95,2876
ARSHIYA,5.33,5.33,5.2,0,5.2,6688
ARMANFIN,2097.05,2119.45,2094.45,0,2095.95,0
APTUS,345,345.15,338.6,0,339.8,292
ARVEE,187.5,187.5,186.67,0,186.67,0
ARROWGREEN,574.7,584,574.25,0,576.05,311
ARTEMISMED,184.9,184.94,182.15,0,184,0
ARVINDFASN,534.6,537.7,532.3,0,537.7,1461
ASAHISONG,463.5,469.8,460.35,0,463.9,75
ASAHIINDIA,694,694,686.9,0,691.3,265
ARSSINFRA,24,24.5,23.57,0,24,2
ASALCBR,690.3,690.3,679.25,0,684.3,300
ARTNIRMAN,63.29,66.61,63.29,0,65.36,0
ASHIANA,415,417.95,412,0,413.15,690
ASAL,1054.9,1054.9,1035.05,0,1038.1,1055
ARVSMART,734.95,734.95,715.8,0,720.2,89
ASHAPURMIN,422.95,426,418.45,0,421.8,1200
ASHOKA,232.7,234.78,232,0,233.56,2429
ASPINWALL,274.35,278.35,274.35,0,278.2,0
ASTEC,1441.6,1459.2,1423.85,0,1428.25,70
ASTERDM,347.45,348,342.5,0,343.3,4687
ASTRAL,2369,2425,2369,0,2421.15,1803
ASTRAMICRO,946.95,963.8,942.1,0,949,1049
ASHOKLEY,227,227.89,226,0,227.4,34210
ASIANPAINT,2937.15,2946.9,2930,0,2933,1473
ASIANENE,324.75,324.75,317.8,0,319.75,4
ASTRAZEN,7190,7190,6968.5,0,7061.45,712
ASIANTILES,82.94,84,81.5,0,83.64,29008
ASIANHOTNR,162.2,162.2,161.95,0,161.95,0
ASHOKAMET,20.55,20.75,20.4,0,20.64,0
ATGL,904.1,904.1,892,0,898.45,2824
ASHIMASYN,44.88,46.8,44.8,0,46.73,17046
ATALREAL,0,0,0,8.95,0,
ASKAUTOLTD,392.7,399.6,391.65,0,394,523
ATUL,6810,6810,6706.05,0,6719,1036
ATAM,196.7,197.69,194.25,0,194.25,0
ASTRON,27.03,27.03,27.03,0,27.03,3255
ATLANTAA,0,0,0,37.8,0,
ATFL,791,791,766.55,0,773.7,197
ATL,51.69,51.92,51.32,0,51.85,1260
AUTOIND,140,142.9,139.16,0,140.46,6376
ASMS,22.01,22.01,22.01,0,22.01,2298
ATULAUTO,793.95,794.9,778,0,781.6,2312
AUBANK,674,678.2,671.05,0,671.8,1852
AURIONPRO,1560.2,1597,1560.2,0,1579,1217
AUTOAXLES,2090,2167,2090,0,2155.5,116
AUSOMENT,95,96.95,94.2,0,94.3,1
AVONMORE,13.35,13.49,13.01,0,13.34,1708
AVTNPL,87.31,87.31,85.9,0,86.11,209
AVANTIFEED,601.05,611.45,601.05,0,607.7,2039
AWHCL,540,576,537.55,0,574,1424
AWL,334.5,335.2,332.85,0,334.25,4954
AVADHSUGAR,653,656.4,646.65,0,649.7,148
AUROPHARMA,1255,1271.8,1255,0,1267.45,5113
AWFIS,553.9,553.9,543,0,547.75,499
AURUM,157,159.7,153.7,0,159,1436
AVALON,536.6,542.1,533,0,537.3,20
AXISCADES,584.8,589.95,578.05,0,581.8,2252
AXITA,21.52,21.53,21.45,0,21.48,13160
AZAD,1861,1861.6,1845.05,0,1856,1072
AXISBANK,1272,1290,1270.9,0,1280.5,11403
BAGFILMS,9.2,9.2,9.02,0,9.03,1251
BAFNAPH,93.95,96,91.72,0,92.9,578
AVG,483.35,490,481.7,0,490,0
BAIDFIN,17.5,17.54,17.38,0,17.39,396
AYMSYNTEX,117.41,121.56,116,0,116.94,1528
AVROIND,117.7,119.78,117.68,0,118.1,1
BAJAJCON,264.4,265.75,261.5,0,265.1,1278
BALAMINES,2428.9,2428.9,2385.05,0,2399.55,512
BALAXI,120.1,120.1,119.21,0,119.5,11
BALKRISHNA,25.33,25.91,25.11,0,25.34,30
BALKRISIND,3148,3162.2,3132.05,0,3159.7,543
BALMLAWRIE,274,293.15,273,0,283.1,4094
BAJAJFINSV,1587,1590.7,1575,0,1579.75,0
BAJAJ-AUTO,9522,9600,9493.3,0,9564.9,0
BAJFINANCE,7134,7134,7085,0,7094.95,2928
BALRAMCHIN,428.05,429.7,425.8,0,427.25,2430
BAJAJHCARE,324,331.6,312.1,0,314.7,2978
